model,val_dataset,method,mean
clam,tcga,mean,0.6340095465393795
csmil,tcga,x20,0.5445710163406369
dsmil,tcga,max,0.5371808207227461
dtfd,tcga,max,0.5466653245199029
mamil,tcga,max,0.5453433099576105
minet_ds,tcga,mul,0.3253587446453936
mmil,tcga,max,0.545527855137626
transmil,tcga,mul,0.5282180764799964
