model,val_dataset,method,mean
clam,tcga,x20,0.5528559764676935
csmil,tcga,concat,0.5437903343063898
dsmil,tcga,x20,0.5289501056940576
dtfd,tcga,lse,0.544744936192106
mamil,tcga,x20,0.537657842051695
minet_ds,tcga,min,0.2850551957856592
mmil,tcga,lse,0.5453813374492501
transmil,tcga,concat,0.5221689091702177
