model,val_dataset,method,mean
CLAM,TransNEO,mul,0.7737254901960784
CLAM-Late,TransNEO,linear,0.803921568627451
CSMIL,TransNEO,concat,0.6219607843137255
DSMIL,TransNEO,mul,0.8070588235294117
DTFD,TransNEO,linear,0.7960784313725491
MAMIL,TransNEO,lse,0.8086274509803921
MINET-DS,TransNEO,concat,0.6788235294117647
MMIL,TransNEO,linear,0.7968627450980392
TransMIL,TransNEO,max,0.7623529411764707
