model,val_dataset,method,mean
CLAM,TransNEO,mean,0.7937254901960784
CLAM-Late,TransNEO,mul,0.8274509803921568
CSMIL,TransNEO,linear,0.8113725490196078
DSMIL,TransNEO,linear,0.8074509803921568
DTFD,TransNEO,concat,0.8007843137254902
MAMIL,TransNEO,min,0.8098039215686275
MINET-DS,TransNEO,linear,0.7043137254901961
MMIL,TransNEO,max,0.7984313725490196
TransMIL,TransNEO,x10,0.7713725490196078
