model,val_dataset,method,mean
CLAM,TransNEO,max,0.6492592592592592
CLAM-Late,TransNEO,min,0.6062962962962963
CSMIL,TransNEO,mul,0.6051851851851852
DSMIL,TransNEO,max,0.6566666666666666
DTFD,TransNEO,concat,0.6663352826510721
MAMIL,TransNEO,concat,0.5885185185185186
MINET-DS,TransNEO,linear,0.6662962962962963
MMIL,TransNEO,linear,0.6707407407407407
TransMIL,TransNEO,x10,0.6411111111111112
