model,val_dataset,method,mean
CLAM,TransNEO,lse,0.6418518518518519
CLAM-Late,TransNEO,x20,0.6048148148148148
CSMIL,TransNEO,linear,0.5888888888888889
DSMIL,TransNEO,x10,0.6485185185185185
DTFD,TransNEO,x20,0.6029629629629629
MAMIL,TransNEO,mul,0.5837037037037037
MINET-DS,TransNEO,min,0.5844444444444444
MMIL,TransNEO,mul,0.6255555555555555
TransMIL,TransNEO,concat,0.6355555555555555
