model,val_dataset,method,mean
CLAM,TCGA,mean,0.600045850527281
CLAM-Late,TCGA,min,0.5967751795812319
CSMIL,TCGA,mul,0.5465994192266544
DSMIL,TCGA,concat,0.58217942839676
DTFD,TCGA,x20,0.6079779917469051
MAMIL,TCGA,min,0.5904630903255387
MINET-DS,TCGA,concat,0.548143053645117
MMIL,TCGA,concat,0.5647103775026746
TransMIL,TCGA,x20,0.5730704569769218
